species,longitude,latitude,country,genus,family,source
Chilo auricilia,83.49,18.53,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.92,18.51,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.89,18.4,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.53,18.41,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.52,18.5,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.82,18.72,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.82,18.73,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.9,18.41,India,Chilo,Crambidae,GBIF
Chilo auricilia,83.53,18.5,India,Chilo,Crambidae,GBIF
Chilo auricilia,112,-7.8,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,80.9467,26.8465,India,Chilo,Crambidae,GBIF
Chilo auricilia,85.935,20.45,India,Chilo,Crambidae,GBIF
Chilo auricilia,76.4167,30.9833,India,Chilo,Crambidae,GBIF
Chilo auricilia,112,-7.78,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,111.456,-7.411,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,113.315,-7.795,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,111.46,-7.41,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,113.31,-7.79,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,112.228,-7.538,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,112.23,-7.54,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,114.2,-7.75,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,105.1,-4.8,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,109.05,-6.95,Indonesia,Chilo,Crambidae,GBIF
Chilo auricilia,101.55,3.25,Malaysia,Chilo,Crambidae,GBIF
Chilo auricilia,101.74,3.27,Malaysia,Chilo,Crambidae,GBIF
Chilo auricilia,80.9462,26.8467,India,Chilo,Crambidae,GBIF
Chilo auricilia,81.173,23.5863,India,Chilo,Crambidae,GBIF
Chilo auricilia,113.965,0.15592,Indonesia,Chilo,Crambidae,GBIF
Chilo infuscatellus,78.4375,11.4375,India,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.6458333,15.5625,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.9375,16.89583333,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.0208333,15.60416667,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.1875,15.85416667,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.8541667,16.8125,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.8125,17.3125,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.9375,16.89583333,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.0208333,15.60416667,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.1875,15.89583333,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.8541667,16.8125,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.8125,17.3125,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,102.6458333,15.5625,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,100.5208333,15.39583333,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,110.3541667,-7.8125,Indonesia,Chilo,Crambidae,GBIF
Chilo infuscatellus,110.3541667,-7.8125,Indonesia,Chilo,Crambidae,GBIF
Chilo infuscatellus,111.8541667,-8.0625,Indonesia,Chilo,Crambidae,GBIF
Chilo infuscatellus,111.8541667,-8.0625,Indonesia,Chilo,Crambidae,GBIF
Chilo infuscatellus,100.1458333,13.9375,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,100.6041667,13.8125,Thailand,Chilo,Crambidae,GBIF
Chilo infuscatellus,76.9375,11.02083333,India,Chilo,Crambidae,GBIF
Chilo infuscatellus,73.10416667,31.39583333,Pakistan,Chilo,Crambidae,GBIF
Chilo infuscatellus,77.60416667,12.97916667,India,Chilo,Crambidae,GBIF
Eumetopina flavipes,142.3958333,-10.89583333,Australia,Eumetopina,Delphacidae,GBIF
Eumetopina flavipes,145.3541667,-6.104166667,Papua New Guinea,Eumetopina,Delphacidae,GBIF
Eumetopina flavipes,146.9791667,-6.6875,Papua New Guinea,Eumetopina,Delphacidae,GBIF
Eumetopina flavipes,145.8958333,-5.979166667,Papua New Guinea,Eumetopina,Delphacidae,GBIF
Eumetopina flavipes,145.7708333,-5.1875,Papua New Guinea,Eumetopina,Delphacidae,GBIF
Perkinsiella saccharicida,-80.22916667,26.3125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-81.10416667,25.8125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-81.10416667,25.8125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-81.10416667,25.8125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-91.10416667,30.3125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-80.1875,26.60416667,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-82.39583333,29.64583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-92.0625,30.60416667,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-92.0625,30.60416667,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-80.3125,25.9375,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-92.0625,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-91.1875,30.4375,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-92.02083333,30.22916667,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,29.9375,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,29.9375,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-81.35416667,27.3125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-98.3125,26.1875,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-80.9375,25.77083333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-91.47916667,30.97916667,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-98.22916667,26.22916667,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,29.9375,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-92.0625,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-79.5625,-1.6875,Ecuador,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-93.0625,30.27083333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-90.10416667,30.39583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-91.10416667,30.3125,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-92.0625,30.14583333,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-98.0625,26.0625,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-83.72916667,10.52083333,Costa Rica,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,-98.39583333,26.1875,United States of America,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,150.6041667,-34.89583333,Australia,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,148.5208333,-20.22916667,Australia,Perkinsiella,Delphacidae,GBIF
Perkinsiella saccharicida,146.0208333,-17.52083333,Australia,Perkinsiella,Delphacidae,GBIF
Scirpophaga excerptalis,121.0208333,22.6875,Taiwan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,78.4375,11.4375,India,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.8958333,-7.645833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,104.8958333,-4.604166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,104.8958333,-4.604166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,145.9791667,-6.104166667,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,121.8125,24.52083333,Taiwan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,145.8958333,-6.354166667,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,145.3125,-5.979166667,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,145.3125,-6.020833333,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.0208333,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.9375,31.0625,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.02083333,31.39583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.9375,31.0625,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.02083333,31.39583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.1875,31.47916667,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.02083333,31.39583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,68.85416667,26.4375,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.10416667,30.64583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,68.9375,26.02083333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.1875,31.47916667,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.02083333,31.39583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,68.85416667,26.4375,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,68.9375,26.02083333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,110.8541667,-6.8125,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.4375,-7.395833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.3125,-7.8125,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.4791667,-7.395833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,110.8541667,-6.8125,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.4375,-8.1875,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.6041667,-7.520833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.0208333,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,107.7708333,-6.5625,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,109.5625,-6.9375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.3958333,-7.4375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.3958333,-7.479166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,109.5625,-6.9375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.2291667,-7.520833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,110.5625,-7.729166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,110.5625,-7.729166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.2291667,-7.520833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,72.64583333,30.72916667,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,72.64583333,30.72916667,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,145.8958333,-5.979166667,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.7291667,-7.8125,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.6875,-8.145833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.6875,-8.145833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,108.6458333,-6.854166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.0625,-6.645833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.7291667,-7.479166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.9791667,-7.6875,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,114.2291667,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.7291667,-7.479166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.0625,-6.645833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.9791667,-7.729166667,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,114.2291667,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.3958333,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.8541667,-8.0625,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,109.0625,-6.9375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.5625,-7.4375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,112.5625,-7.4375,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,111.8541667,-8.0625,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,113.3958333,-7.770833333,Indonesia,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,137.2291667,35.14583333,Japan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,141.2708333,-5.3125,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,148.2291667,-8.770833333,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,148.2291667,-8.770833333,Papua New Guinea,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,73.10416667,31.39583333,Pakistan,Scirpophaga,Crambidae,GBIF
Scirpophaga excerptalis,109.6875,-7.6875,Indonesia,Scirpophaga,Crambidae,GBIF
Sesamia grisescens,145.9791667,-6.104166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.5208333,-5.6875,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.8958333,-6.354166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.7708333,-5.229166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,145.8958333,-5.979166667,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,148.2291667,-8.770833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,150.0625,-5.520833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,141.2708333,-5.3125,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,148.2291667,-8.770833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Sesamia grisescens,150.0625,-5.520833333,Papua New Guinea,Sesamia,Noctuidae,GBIF
Yamatotettix flavovittatus,127.5625,37.10416667,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,126.6875,37.72916667,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,126.6875,37.72916667,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,128.1041667,35.1875,South Korea,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,105.6875,18.6875,Vietnam,Yamatotettix,Cicadellidae,GBIF
Yamatotettix flavovittatus,141.1875,38.8125,Japan,Yamatotettix,Cicadellidae,GBIF
